Country,Year,Arrivals
Sweden,2024,21242
Sweden,2023,18006
Sweden,2022,8083
Sweden,2021,253
Sweden,2020,9292
Sweden,2019,29592
Sweden,2018,32665
Sweden,2017,34304
Sweden,2016,32861
Sweden,2015,35586
Ireland,2025,11858
Ireland,2024,21170
Ireland,2023,18127
Ireland,2022,8739
Ireland,2021,137
Ireland,2020,3735
Ireland,2019,25659
Ireland,2018,19687
Ireland,2017,20854
Ireland,2016,18208
Ireland,2015,22746
Laos,2025,11581
Laos,2024,18886
Laos,2023,16781
Laos,2022,7010
Laos,2021,425
Laos,2020,5424
Laos,2019,26955
Laos,2018,23782
Laos,2017,39460
Laos,2016,31061
Laos,2015,24448
Belgium,2025,11510
Belgium,2024,25234
Belgium,2023,17726
Belgium,2022,7543
Belgium,2021,122
Belgium,2020,3734
Belgium,2019,22082
Belgium,2018,20624
Belgium,2017,17327
Belgium,2016,14283
Belgium,2015,18789
Egypt,2025,11262
Egypt,2024,22859
Egypt,2023,20783
Egypt,2022,11117
Egypt,2021,652
Egypt,2020,6204
Egypt,2019,29831
Egypt,2018,27909
Egypt,2017,23760
Egypt,2016,30231
Egypt,2015,25637
Iran (Islamic Republic of),2025,10982
Iran (Islamic Republic of),2024,24710
Iran (Islamic Republic of),2023,19908
Iran (Islamic Republic of),2022,7570
Iran (Islamic Republic of),2021,314
Iran (Islamic Republic of),2020,7078
Iran (Islamic Republic of),2019,46559
Iran (Islamic Republic of),2018,67094
Iran (Islamic Republic of),2017,59023
Iran (Islamic Republic of),2016,47102
Iran (Islamic Republic of),2015,65066
South Africa,2025,10642
South Africa,2024,20091
South Africa,2023,18488
South Africa,2022,11379
South Africa,2021,198
South Africa,2020,5067
South Africa,2019,20437
South Africa,2018,19914
South Africa,2017,20553
South Africa,2016,60476
South Africa,2015,93159
Ukraine,2025,7294
Ukraine,2024,13511
Ukraine,2023,11129
Ukraine,2022,4381
Ukraine,2021,298
Ukraine,2020,6326
Ukraine,2019,16019
Ukraine,2018,14529
Ukraine,2017,13068
Ukraine,2016,12971
Ukraine,2015,10672
Norway,2025,6801
Norway,2024,13250
Norway,2023,9981
Norway,2022,4960
Norway,2021,136
Norway,2020,3552
Norway,2019,14585
Norway,2018,15202
Norway,2017,14121
Norway,2016,14709
Norway,2015,18622
United Arab Emirates,2025,2832
United Arab Emirates,2024,6836
United Arab Emirates,2023,7877
United Arab Emirates,2022,3230
United Arab Emirates,2021,86
United Arab Emirates,2020,679
United Arab Emirates,2019,11174
United Arab Emirates,2018,9386
United Arab Emirates,2017,8555
United Arab Emirates,2016,14150
United Arab Emirates,2015,15769
